"UploadDate","Counties__Name","Counties__Jurisdictions__Name","Counties__Jurisdictions__VotingInformation__ClerkAddress__Address1","Counties__Jurisdictions__VotingInformation__ClerkAddress__Address2","Counties__Jurisdictions__VotingInformation__ClerkAddress__City","Counties__Jurisdictions__VotingInformation__ClerkAddress__Zip","Counties__Jurisdictions__VotingInformation__ClerkHours","Counties__Jurisdictions__VotingInformation__Dropboxes__Address","Counties__Jurisdictions__VotingInformation__Dropboxes__City","Counties__Jurisdictions__VotingInformation__Dropboxes__Zip","Counties__Jurisdictions__VotingInformation__Dropboxes__DropoffHours","Counties__Jurisdictions__VotingInformation__Dropboxes__Notes","Counties__Jurisdictions__VotingInformation__Dropboxes__In/Out"
"1603906894228","Alger","Onota Township","E1461 Deerton-Sand Lake Rd","","Deerton","49822","","E1461 Deerton-Sand Lake Road","Deerton","49822","24/7","Door nearest the dumpster has a slot box","Outdoors"
"1603906894228","Allegan","Allegan City","231 Trowbridge Street","","Allegan","49010","","231 Trowbridge Street","Allegan","49010","24/7","near entrance","Outdoor"
"1603906894228","Allegan","Allegan Township","3037 118th Avenue","","Allegan","49010","","3037 118th Avenue","Allegan","49010","24/7","To the left of first set of doors","Outdoor"
"1603906894228","Allegan","Casco Township","7104 107th ave","","South Haven","49090","T, W: 1:00PM - 4:00PM, Th: 9:00AM - 4:00PM","7104 107th avenue","South Haven","49090","24/7","In entryway.","Indoors"
"1603906894228","Allegan","Cheshire Township","471 41St St","269-673-8191 by appt","Allegan","49010","","471 41St St","Allegan","49010","24/7","Township Hall to the right of doorway","Outdoors"
"1603906894228","Allegan","Cheshire Township","471 41St St","269-673-8191 by appt","Allegan","49010","","630 38th Street","Allegan","49010","By appointment only","","Indoors"
"1603906894228","Allegan","Clyde Township","5360 120th Avenue","","Fennville","49408","","5360 120th Avenue","Fennville","49408","24/7","Back of the township hall","Outdoor"
"1603906894228","Allegan","Dorr Township","4196 18th St","","Dorr","49323","M - Th: 7:30AM - 5:30PM","4196 18th St","Dorr","49323","24/7","","Outdoors"
"1603906894228","Allegan","Douglas City","86 West Center St.","","Douglas","49406","","86 West Center St.","Douglas","49406","24/7","Black box is left of entryway","Outdoor"
"1603906894228","Allegan","Fennville City","125 S. Maple Street","","Fennville","49408","M - Fr: 8:00AM - 4:30PM","125 S. Maple Street","Fennville","49408","24/7","","Outdoors"
"1603906894228","Allegan","Fillmore Township","4219 52nd St.","","Holland","49423","M, W, Fr: 8:00AM - 12:00PM","4219 52nd St","Holland","49423","24/7","","Outdoors"
"1603906894228","Allegan","Ganges Township","1904 64th St","","Fennville","49408","M - T: 8:00AM - 1:00PM, Th: 12:00PM - 5:00PM","1904 64th St.","Fennville","49408","24/7","Ballots should be put in bottom slot of mailbox located at the roadside.","Outdoors"
"1603906894228","Allegan","Gun Plain Township","391 8th St","","Plainwell","49080","","381 8th Street","Plainwell","49080","24/7","","Outdoors"
"1603906894228","Allegan","Heath Township","3440 Lincoln Road","","Hamilton","49419","T, Th: 9:00AM - 3:00PM","3440 M-40","Hamilton","49419","24/7","","Outdoors"
"1603906894228","Allegan","Holland City","270 S. River Ave","","Holland","49423","","270 S. River Ave.","Holland","49423","24/7","","Outdoors"
"1603906894228","Allegan","Hopkins Township","128 S. Franklin","","Hopkins","49328","By appointment","128 S. Franklin","Hopkins","49328","24/7","","Outdoors"
"1603906894228","Allegan","Laketown Township","4338 Beeline Rd","","Holland","49423","M - Fr: 7:30AM - 5:00PM","4338 Beeline Road","Holland","49423","24/7","","Outdoors"
"1603906894228","Allegan","Laketown Township","4338 Beeline Rd","","Holland","49423","M - Fr: 7:30AM - 5:00PM","4338 Beeline Road","Holland","49423","7:30A- 5P, M - F","","Indoors"
"1603906894228","Allegan","Lee Township","877 56th Street","","Pullman","49450","","877 56Th Street","Pullman","49450","24/7","","In the door"
"1603906894228","Allegan","Leighton Township","4451 12th Street, Suite A","","Wayland","49348","","4451 12th St.","Wayland","49348","24/7","Township Hall on building","Outdoor"
"1603906894228","Allegan","Leighton Township","4451 12th Street, Suite A","","Wayland","49348","","4451 12th St.","Wayland","49348","24/7","By curb of Township Hall","Outdoor"
"1603906894228","Allegan","Manlius Township","3134 57th St","","Fennville","49408","M, W: 9:00AM - 4:00PM, F: 9:00AM - 12:00PM","3134 57th","Fennville","49408","24/7","","Indoors"
"1603906894228","Allegan","Martin Township","998 Templeton Street","","Martin","49070","M - Th: By appointment","998 Templeton Street","Martin","49070","24/7","","Outdoors"
"1603906894228","Allegan","Monterey Township","2999 30th St.","","Allegan","49010","","2999 30th St.","Allegan","49010","24/7","","Outdoor"
"1603906894228","Allegan","Otsego City","117 E Orleans Street","","Otsego","49078","M - Fr: 8:00AM - 5:00PM","117 E Orleans Street","Otsego","49078","24/7","","Outdoors"
"1603906894228","Allegan","Otsego Township","400 N. 16th Street","","Otsego","49078","","400 N. 16th Street","Otsego","49078","24/7","Township Hall","Outdoor"
"1603906894228","Allegan","Overisel Township","A-4307 144th Ave","","Holland","49423","T: 9:00AM - 5:00PM","A-4307 144th Ave","Holland","49423","24/7","","Outdoors"
"1603906894228","Allegan","Plainwell City","211 N. Main St","","Plainwell","49080","M - Fr: 8:00AM - 5:00PM","211 N Main St","Plainwell","49080","24/7","","Outdoors"
"1603906894228","Allegan","Saugatuck City","102 Butler Street","","Saugatuck","49453","M - Fr: 8:30AM - 12:30PM AND 1:00PM - 5:00PM","102 Butler street","Saugatuck","49453","24/7","","Outdoors"
"1603906894228","Allegan","Saugatuck Township","3461 Blue Star Hwy","","Saugatuck","49453","","3461 Blue Star Hwy","Saugatuck","49453","24/7","entrance way, M-F 8 am-4 pm; after hours there is a drop box slot in the door.","Indoor/Outdoor"
"1603906894228","Allegan","Trowbridge Township","913 M-40 S","","Allegan","49010","","913 M-40 S","Allegan","49010","24/7","","Outdoors"
"1603906894228","Allegan","Valley Township","2054 N. M-40","","Allegan","49010","M - Th: 9:00AM - 3:00PM","2054 N. M-40","Allegan","49010","24/7","","Outdoors"
"1603906894228","Allegan","Wayland City","103 S. Main St.","","Wayland","49348","","103 S. Main St.","Wayland","49348","24/7","slot next to window","Outdoors"
"1603906894228","Allegan","Wayland Township","1060 129th Avenue","","Bradley","49344","M, T, Fr: By appointment; W, Th: 8:00AM - 11:00AM","1060 129th Avenue","Bradley","49344","24/7","","Outdoors"
"1603906894228","Alpena","Alpena City","208 N. First Avenue","989-354-1700","Alpena","49707","","208 N. First Avenue","Alpena","49707","24/7","parking lot behind City Hall","Outdoors"
"1603906894228","Alpena","Alpena Township","4385 US 23 N","","Alpena","49707","M - Fr: 8:00AM - 5:00PM","4385 US 23 N","Alpena","49707","24/7","","Outdoors"
"1603906894228","Alpena","Green Township","2650 Calcut Road","","Lachine","49753","","2650 Calcut Road","Lachine","49753","24/7","","Outdoors"
"1603906894228","Alpena","Sanborn Township","12025 Us Hwy 23 S.","","Ossineke","49766","","12025 Us Hwy 23 S.","Ossineke","49766","24/7","","Outdoors"
"1603906894228","Antrim","Banks Township","6520 Center St","","Ellsworth","49729","","6520 Center St","Ellsworth","49729","24/7","Along Driveway","Outdoors"
"1603906894228","Antrim","Central Lake Township","1622 N. M-88 Highway","","Central Lake","49622","M, W: 9:00AM - 1:00PM; T, Th: By appointment","1622 N M-88","Central Lake","49622","24/7","","Outdoors"
"1603906894228","Antrim","Custer Township","2949 Alden Hwy","","Mancelona","49659","","2949 Alden Hwy","Mancelona","49659","24/7","","Outdoors"
"1603906894228","Antrim","Elk Rapids Township","315 Bridge Street","","Elk Rapids","49629","M, T, Th, Fr: 9:00AM - 12:00PM AND 1:00PM - 3:00PM","315 Bridge St.","Elk Rapids","49629","24/7","Outdoor access slot for deposits of ballots.","Outdoors"
"1603906894228","Antrim","Forest Home Township","321 N. Bridge","","Bellaire","49615","M, W, Fr: 9:00AM - 12:00PM","321 N. Bridge St.","Bellaire","49615","24/7","","Outdoors"
"1603906894228","Antrim","Helena Township","8751 Helena Rd","","Alden","49612","M, W, Fr: 9:00AM - 12:00PM","8751 Helena Road","Alden","49612","9A - 2P, M-F","","Indoors"
"1603906894228","Antrim","Kearney Township","4820 Aero Park Dr","","Bellaire","49615","","4820 Aero Park Dr.","Bellaire","49615","24/7","Mounted inside the building with access to the outside.","Indoors"
"1603906894228","Antrim","Torch Lake Township","2355 N US-31","","Kewadin","49648","M, W, Fr: 9:00AM - 3:00PM","2355 US Hwy 31 N","Kewadin","49648","24/7","","Indoors"
"1603906894228","Arenac","Au Gres City","124 W Huron Road","","Au Gres","48703","","124 W Huron Road","Au Gres","48703","24/7","","Outdoors"
"1603906894228","Arenac","Clayton Township","1057 Dobler Rd","","Sterling","48659","","1057 Dobler Road","Sterling","48659","24/7","","Outdoors"
"1603906894228","Arenac","Sims Township","4489 Huron Road","","AuGres","48703","M - Th: 10:00AM - 4:00PM","4489 E. Huron Rd","AuGres","48703","24/7","","Outdoors"
"1603906894228","Arenac","Whitney Township","1515 N. Huron","","Tawas City","48763","T, Th: 9:00AM - 5:00PM, Fr: 2:00PM - 6:00PM","1515 N. Huron","Tawas City","48763","24/7","","Outdoors"
"1603906894228","Baraga","Baraga Township","325 Lyons Steet","","Baraga","49908","","325 Lyons Steet","Baraga","49908","24/7","","Outdoors"
"1603906894228","Baraga","Lanse Township","126 N Main St","","L'Anse","49946","","126 N Main St","L'Anse","49946","24/7","","Outdoors"
"1603906894228","Baraga","Spurr Township","29257 US Hwy 41","","Michigamme","49861","W, Th: 8:00AM - 11:00AM","29257 US Hwy 41","Michigamme","49861","24/7","Ballots may be placed in the mail drop box located by the building's office entry door.","Outdoors"
"1603906894228","Barry","Assyria Township","8094 Tasker Rd","","Bellevue","49021","By appointment","8094 Tasker Rd","Bellevue","49021","24/7","Mail slot next to the door.","Outdoors"
"1603906894228","Barry","Assyria Township","8094 Tasker Rd","","Bellevue","49021","By appointment","8094 Tasker Road","Bellevue","49021","24/7","Slot on the outside of building.","Indoors"
"1603906894228","Barry","Carlton Township","85 Welcome Road","","Hastings","49058","W: 10:00AM - 12:00PM","85 Welcome Road","Hastings","49058","24/7","Front door slot.","Outdoors"
"1603906894228","Barry","Hastings City","201 East State Street","","Hastings","49058","","201 East State Street","Hastings","49058","24/7","","Outdoors"
"1603906894228","Barry","Hastings Township","885 River Rd","","Hastings","49058","M, W, Th, Fr: By appointment; T: 9:00AM - 12:00PM AND 1:00PM - 4:00PM","885 River Rd","Hastings","49058","24/7","","Outdoors"
"1603906894228","Barry","Hope Township","5463 S. M-43 Hwy","","Hastings","49058","M, T: By appointment, W: 9:00AM - 12:00PM AND 1:00PM; Th, Fr: 1:00PM - 3:00PM","5463 S M-43 Hwy","Hastings","49058","24/7","On side of hall.","Outdoors"
"1603906894228","Barry","Johnstown Township","13641 S. M-37 Highway","","Battle Creek","49017","M, W: 8:30AM - 3:00PM, T, Th, Fr: By appointment","13641 S. M-37 Hwy.","Battle Creek","49017","24/7","","Outdoors"
"1603906894228","Barry","Orangeville Township","7350 Lindsey Rd","","Plainwell","49080","M, W, Fr: 9:30AM - 1:30PM","7350 Lindsey Rd","Plainwell","49080","24/7","On side of building.","Outdoors"
"1603906894228","Barry","Rutland Township","2461 Heath Road","","Hastings","49058","M - Th: 9:00AM - 3:00PM","2461 Heath Rd","Hastings","49058","24/7","","Outdoors"
"1603906894228","Barry","Thornapple Township","200 E. Main Street","","MIddleville","49333","M - Th: 9:00AM - 4:00PM","200 E Main St","Middleville","49333","24/7","","Outdoors"
"1603906894228","Barry","Woodland Township","156 S Main St","","Woodland","48897","T, W, Th: By appointment","156 S Main St.","Woodland","48897","24/7","","Outdoors"
"1603906894228","Barry","Yankee Springs Township","284 N. Briggs Road","","Middleville","49333","M - Th: 9:00AM - 3:00PM; Fr: 9:00AM - 12:00PM","284 N Briggs Rd","Middleville","49333","24/7","","Outdoors"
"1603906894228","Bay","Bay City","301 Washington Ave.","","Bay City","48708","M - Fr: 8:00AM - 5:00PM","301 Washington Avenue","Bay City","48708","24/7","","Outdoors"
"1603906894228","Bay","Beaver Township","1850 S. Garfield Road","","Auburn","48611","By appointment","1850 S. Garfield Road","Auburn","48611","24/7","Attached to building.","Outdoors"
"1603906894228","Bay","Essexville City","1107 Woodside Avenue","","Essexville","48732","","1107 Woodside Avenue","Essexville","48732","24/7","between the glass doors","indoors"
"1603906894228","Bay","Frankenlust Township","2401 Delta Road","","Bay City","48706","M, Fr: 9:00AM - 4:00PM","2401 Delta Road","Bay City","48706","24/7","One drop box on building and a drive-up drop box at the back of the parking lot.","Outdoors"
"1603906894228","Bay","Fraser Township","1474 North Mackinaw Rd","","Linwood","48634","","1474 N Mackinaw Rd","Linwood","48634","24/7","","Outdoors"
"1603906894228","Bay","Gibson Township","6073 Carter Rd.","","Bentley","48613","","6073 Carter Rd.","Bentley","48613","24/7","","Outdoors"
"1603906894228","Bay","Hampton Township","801 W. Center Ave","","Bay City","48707","M - Fr: 9:00AM - 3:00PM","801 W. Center Road","Essexville","48732","24/7","","Outdoors"
"1603906894228","Bay","Merritt Township","48 E. Munger Rd","","Munger","48747","T, W, Th: 9:00AM - 12:00PM","48 E. Munger Rd","Munger","48747","24/7","","Outdoors"
"1603906894228","Bay","Monitor Township","2483 Midland Rd","","Bay City","48706","","2483 Midland Rd","Bay City","48706","9am-12pm, 1pm-5pm","","indoors"
"1603906894228","Bay","Monitor Township","2483 Midland Rd","","Bay City","48706","","2483 Midland Rd","Bay City","48706","24/7","by the mailbox","Outdoors"
"1603906894228","Bay","Mount Forest Township","1705 W Cody Estey Rd","","Pinconning","48650","By appointment","1705 W Cody Estey Rd","Pinconning","48650","24/7","","Outdoors"
"1603906894228","Bay","Pinconning City","208 S Manitou St","","Pinconning","48650","","208 S. Manitou St.","Pinconning","48650","24/7","","Outdoors"
"1603906894228","Bay","Pinconning Township","1751 Cody Estey Road","","Pinconning","48650","","1751 Cody Estey Road","Pinconning","48650","24/7","","Outdoors"
"1603906894228","Bay","Portsmouth Township","1711 W. Cass Ave","","Bay City","48708","M - Th: 9:00AM - 12:00PM","1711 W. Cass Ave. Rd.","Bay City","48708","24/7","In entrance to office.","Indoors"
"1603906894228","Benzie","Blaine Township","4760 Herring Grove Road","","Arcadia","49613","","4760 Herring Grove Road","Arcadia","49613","24/7","","Outdoors"
"1603906894228","Benzie","Crystal Lake Township","1651 Frankfort Hwy.","","Frankfort","49635","","1651 Frankfort Hwy.","Frankfort","49635","24/7","by handicapped ramp (Corner Of M-115 & Airport)","Outdoors"
"1603906894228","Benzie","Gilmore Township","1246 Grace Rd.","","Frankfort","49635","By appointment","1246 Grace Rd","Frankfort","49635","24/7","","Outdoors"
"1603906894228","Benzie","Homestead Township","11508 Honor Hwy","","Honor","49640","M: 3:00PM - 5:00PM; T: 3:00PM - 6:00PM","11508 Honor Hwy","Honor","49640","24/7","","Outdoors"
"1603906894228","Benzie","Inland Township","19668 Honor Highway","","Interlochen","49643","M: 9:00AM - 12:00PM, T: 1:00PM - 5:00PM","19668 Honor Hwy","Interlochen","49643","24/7","","Outdoors"
"1603906894228","Berrien","Bainbridge Township","7315 Territorial Road","","Watervliet","49098","M, T, Th: 7:30AM - 12:30PM","7315 Territorial","Watervliet","49098","24/7","","Outdoors"
"1603906894228","Berrien","Benton Charter Township","1725 Territorial Road, Bldg. B","","Benton Harbor","49022","","1725 Territorial Road, Bldg. B","Benton Harbor","49022","24/7","Box in front of building","Outdoors"
"1603906894228","Berrien","Benton Harbor City","200 E. Wall","","Benton Harbor","49022","","200 E. Wall","Benton Harbor","49022","24/7","","Outdoors"
"1603906894228","Berrien","Benton Township","1725 Territorial Rd","Bldg. B","Benton Harbor","49022","M - Fr: 8:30AM - 5:00PM","1725 Territorial Road, Bldg. B","Benton Harbor","49022","24/7","","Outdoors"
"1603906894228","Berrien","Berrien Township","8916 M 140","","Berrien Center","49102","","8916 M 140","Berrien Center","49102","24/7","","Outdoors"
"1603906894228","Berrien","Bertrand Township","3835 Buffalo Rd.","","Buchanan","49107","M - Th: 9:00AM - 4:00PM","3835 Buffalo Rd","Buchanan","49107","24/7","Slot in entryway door.","Indoors"
"1603906894228","Berrien","Bridgman City","9765 Maple St","","Bridgman","49106","M - Th: 8:00AM - 4:00PM, Fr: 8:00AM - 3:00PM","9765 Maple St.","Bridgman","49106","24/7","","Outdoors"
"1603906894228","Berrien","Buchanan City","302 North Redbud Trail","","Buchanan","49107","M - Fr: 9:00AM - 5:00PM","302 N Redbud Trail","Buchanan","49107","24/7","Box is on the edge of the parking lot","Outdoors"
"1603906894228","Berrien","Buchanan Township","15235 Main Street","","Buchanan","49107","","15235 Main Street","Buchanan","49107","24/7","inside the first set of doors","Indoors"
"1603906894228","Berrien","Chikaming Township","13535 Red Arrow Hwy","","Harbert","49115","M - Fr: 8:30AM - 12:00PM AND 12:30PM - 4:30PM","13535 Red Arrow Hwy","Harbert","49115","24/7","","Outdoors"
"1603906894228","Berrien","Chikaming Township","13535 Red Arrow Hwy","","Harbert","49115","M - Fr: 8:30AM - 12:00PM AND 12:30PM - 4:30PM","13535 Red Arrow Hwy","Harbert","49115","8:30A - 4:30P, M-F","","Indoors"
"1603906894228","Berrien","Coloma Charter Township","4919 Paw Paw Lake Road","","Coloma","49038","","4919 Paw Paw Lake Road","Coloma","49038","24//7","Inside foyer","Indoors"
"1603906894228","Berrien","Coloma City","119 N. Paw Paw St.","","Coloma","49038","","119 N. Paw Paw St.","Coloma","49038","24/7","","Outdoors"
"1603906894228","Berrien","Coloma City","119 N. Paw Paw St.","","Coloma","49038","","119 N. Paw Paw Street","Coloma","49038","24/7","","Outdoors"
"1603906894228","Berrien","Coloma Township","4919 Paw Paw Lake Road","","Coloma","49038","","4919 Paw Paw Lake Road","Coloma","49038","24/7","","Indoors"
"1603906894228","Berrien","Galien Township","305 Kiley Drive","","Galien","49113","By appointment","305 Kiley Drive","Galien","49113","24/7","","Outdoors"
"1603906894228","Berrien","Hagar Township","3900 Riverside Rd","","Benton Harbor","49022","M, T, Th: 9:00AM - 1:00PM; W: 3:00PM - 5:00PM Fr: 9:00AM - 1:00PM AND 2:00PM - 5:00PM","3900 Riverside Rd","Benton Harbor","49022","24/7","","Outdoors"
"1603906894228","Berrien","Hagar Township","3900 Riverside Rd","","Benton Harbor","49022","M, T, Th: 9:00AM - 1:00PM; W: 3:00PM - 5:00PM Fr: 9:00AM - 1:00PM AND 2:00PM - 5:00PM","3900 Riverside Rd","Benton Harbor","49022","24/7","between two sets of doors","Indoors"
"1603906894228","Berrien","Lake Township","3220 Shawnee Road","","Bridgman","49106","M - Th: 7:30AM - 4:00PM; Fr: 7:30AM - 3:00PM","3220 Shawnee Road","Bridgman","49106","24/7","","Outdoors"
"1603906894228","Berrien","Lincoln Township","2055 W. John Beers Rd","","Stevensville","49127","M - Fr: 9:00AM - 5:00PM","2055 West John Beers Rd","Stevensville","49127","24/7","To the right of front door.","Outdoors"
"1603906894228","Berrien","New Buffalo City","224 West Buffalo","","New Buffalo","49117","M - Fr: 8:00AM - 4:00PM","224 W. Buffalo St.","New Buffalo","49117","24/7","The dropbox is located to the right of the front door of City Hall. It is in the wall of City Hall.","Outdoors"
"1603906894228","Berrien","New Buffalo Township","17425 Red Arrow Hwy","","New Buffalo","49117","M - Fr: 9:00AM - 4:00PM","17425 Red Arrow Hwy","New Buffalo","49117","24/7","On the Building to the left of the front doors.","Outdoors"
"1603906894228","Berrien","Niles City","333 N 2Nd Street","","Niles","49120","","333 N 2Nd Street","Niles","49120","24/7","","Outdoors"
"1603906894228","Berrien","Royalton Township","980 Miners Rd","","Saint Joseph","49085","","980 Miners Rd","Saint Joseph","49085","24/7","","Outdoors"
"1603906894228","Berrien","Sodus Township","4056 King Drive","","Sodus","49126","","4056 King Drive","Sodus","49126","24/7","","Outdoors"
"1603906894228","Berrien","St. Joseph City","700 Broad St","","St. Joseph","49085","By appointment","700 Broad Street","St. Joseph","49085","24/7","","Outdoors"
"1603906894228","Berrien","St. Joseph Township","3000 Washington Ave.","","St. Joseph","49085","","3000 Washington Ave.","St. Joseph","49085","24/7","","Outdoors"
"1603906894228","Berrien","Three Oaks Township","6810 US Hwy 12","","Three Oaks","49128","T, W, Th: 9:00AM - 12:00PM","6810 US Hwy 12","Three Oaks","49128","24/7","One in lobby which is always open and one on the east side of building.","Outdoors"
"1603906894228","Berrien","Weesaw Township","13518 State St.","","New Troy","49119","","13518 State St.","New Troy","49125","24/7","","Outdoors"
"1603906894228","Branch","Bethel Township","453 W. Hatmaker Road","","Bronson","49028","","453 W. Hatmaker Road","Bronson","49028","24/7","","Outdoors"
"1603906894228","Branch","Coldwater City","1 Grand Street","","Coldwater","49036","M - Fr: 8:00AM - 5:00PM","1 Grand Street","Coldwater","49036","24/7","","Outdoors"
"1603906894228","Branch","Coldwater Township","319 Sprague Road","","Coldwater","49036","M - Fr: 9:00AM - 12:00PM","319 Sprague Road","Coldwater","49036","24/7","It is located to the right of our Township Hall entry door.","Outdoors"
"1603906894228","Branch","Ovid Township","381 S Angola Rd","","Coldwater","49036","By appointment","381 S Angola Rd","Coldwater","49036","24/7","","Outdoors"
"1603906894228","Calhoun","Albion City","112 W Cass St","","Albion","49224","M - Fr: 8:00AM - 5:00PM","112 W Cass Street","Albion","49224","24/7","","Outdoors"
"1603906894228","Calhoun","Albion Township","28051 F Drive South","","Albion","49224","By appointment","28051 F Drive South","Albion","49224","24/7","","Outdoors"
"1603906894228","Calhoun","Athens Township","130 East Burr Oak St","","Athens","49011","By appointment","130 E Burr Oak","Athens","49011","24/7","","Outdoors"
"1603906894228","Calhoun","Battle Creek City","10 N. Division Street","Room 111","Battle Creek","49014","Sat, Oct 24 8:00AM - 4:00PM, Monday - Thursday 9:00AM -4:00PM, Friday, Oct 30 9:00AM - 4:00PM","10 N. Division Street","Battle Creek","49014","24/7","City Hall","Outdoors"
"1603906894228","Calhoun","Battle Creek City","10 N. Division Street","Room 111","Battle Creek","49014","Sat, Oct 24 8:00AM - 4:00PM, Monday - Thursday 9:00AM -4:00PM, Friday, Oct 30 9:00AM - 4:00PM","10 N. Division Street","Battle Creek","49014","Mon - Thurs 9am-4pm","Room 111","indoors"
"1603906894228","Calhoun","Bedford Township","115 South Uldriks Drive","","Battle Creek","49037","M - Th: 7:30AM - 12:00PM AND 12:30PM - 4:30PM","115 S. Uldriks Dr.","Battle Creek","49037","24/7","Drive-up drop box.","Outdoors"
"1603906894228","Calhoun","Burlington Township","135 Elm Street","","Burlington","49029","","135 Elm Street","Burlington","49029","24/7","","Outdoors"
"1603906894228","Calhoun","Clarence Township","27052 R DRIVE NORTH","","Albion","49224","M - Fr: 9:00AM - 12:00PM AND 1:00PM - 4:00PM","27052 R Drive North","Albion","49224","24/7","","Outdoors"
"1603906894228","Calhoun","Clarence Township","27052 R DRIVE NORTH","","Albion","49224","M - Fr: 9:00AM - 12:00PM AND 1:00PM - 4:00PM","27052 R Drive North","Albion","49224","24/7","drive through drop box","Outdoors"
"1603906894228","Calhoun","Clarendon Township","21947 R Drive S.","","Homer","49245","","21947 R Drive S.","Homer","49245","24/7","","Outdoors"
"1603906894228","Calhoun","Convis Township","19500 15 Mile Rd.","","Marshall","49068","M: 9:00AM - 5:00PM, W: 9:00AM - 3:00PM","19500 15 Mile Rd","Marshall","49068","24/7","","Outdoors"
"1603906894228","Calhoun","Eckford Township","21000 F Drive South","","Homer","49245","Th: 2:00PM - 6:00PM; By appointment","21000 F Drive South","Marshall","49068","24/7","slot by main door","Outdoors"
"1603906894228","Calhoun","Emmett Township","621 cliff street","","Battle Creek","49014","M - Th: 7:00AM - 11:30AM AND 12:00PM - 4:30PM","621 Cliff St","Battle Creek","49014","24/7","","Outdoors"
"1603906894228","Calhoun","Fredonia Township","8803 17 Mile Rd","","Marshall","49029","T: 1:00PM - 5:00PM; Th: 8:00AM - 12:00PM","8803 17 Mile Road","Marshall","49068","24/7","","Indoors"
"1603906894228","Calhoun","Lee Township","23045 21 Mile Road","","Olivet","49076","By appointment","23045 21 Mile Road","Olivet","49076","24/7","","Outdoors"
"1603906894228","Calhoun","Leroy Township","8156 4 Mile Road","","East Leroy","49051","T, W, Th: 9:00AM - 4:30PM","8156 4 Mile Road","East Leroy","49051","24/7","","Outdoors"
"1603906894228","Calhoun","Marengo Township","14021 23 Mile Rd","","Albion","49224","","14021 23 Mile Rd","Albion","49224","24/7","by West door","Outdoors"
"1603906894228","Calhoun","Marengo Township","14021 23 Mile Rd","","Albion","49224","","14021 23 Mile Rd","Albion","49224","24/7","By South door","outdoors"
"1603906894228","Calhoun","Marshall City","323 W MICHIGAN AVE","","Marshall","49068","M - Fr: 8:00AM - 5:00PM","323 W. Michigan Avenue","Marshall","49068","24/7","","Outdoors"
"1603906894228","Calhoun","Marshall Township","13551 Myron Avery Dr","","Marshall","49068","M - Th: 8:00AM - 3:30PM","13551 Myron Avery Drive","Marshall","49068","24/7","On north side of the building, next to the door.","Outdoors"
"1603906894228","Calhoun","Newton Township","7988 G Drive South","","Ceresco","49033","T, Th: 1:00PM - 4:00PM; By appointment","7988 G Drive South","Ceresco","49033","24/7","","Outdoors"
"1603906894228","Calhoun","Pennfield Township","20260 Capital Avenue N.E.","","Battle Creek","49017","M - Th: 8:00AM - 5:00PM","20260 Capital Avenue N.E.","Battle Creek","49017","24/7","","Outdoors"
"1603906894228","Calhoun","Sheridan Township","13355 29 Mile Road","","Albion","49224","M - Th: 9:00AM - 12:00PM","13355 29 Mile Rd","Albion","49224","24/7","","Outdoors"
